,precision,recall,f1-score,support
AM-SSB-WC,1.0,0.00102880658436214,0.0020554984583761563,972.0
AM-SSB-SC,0.41216702663786897,0.7976314872866597,0.5434911593686959,2871.0
AM-DSB-WC,0.9324142568930733,0.5692876206117841,0.7069471000637348,4871.0
AM-DSB-SC,0.8877551020408163,0.7930720145852325,0.8377467501203659,4388.0
FM,0.48672320311413875,0.8057537399309551,0.6068642745709828,4345.0
BPSK,0.6396428571428572,0.6069129108776686,0.622848200312989,5902.0
QPSK,0.0,0.0,0.0,0.0
8PSK,0.0,0.0,0.0,0.0
16PSK,0.0,0.0,0.0,0.0
32PSK,0.0,0.0,0.0,0.0
4ASK,0.8828282828282829,0.44082044384667113,0.5880242206772819,2974.0
8ASK,0.5043478260869565,0.19448026824864587,0.28071481757259864,3877.0
16QAM,0.3181068989875206,0.4596801633208574,0.37600890620651267,2939.0
32QAM,0.5834932821497121,0.3111566018423746,0.40587449933244324,1954.0
64QAM,0.6854368932038835,0.3692468619246862,0.4799456152277362,2868.0
128QAM,0.321505743204822,0.6602055114432508,0.4324282982791587,4282.0
accuracy,0.5563820859082933,0.5563820859082933,0.5563820859082933,0.5563820859082933
macro avg,0.37571643905060387,0.30342739351962217,0.2995464922477908,52428.0
weighted avg,0.6298945259126629,0.5563820859082933,0.5524846845895467,52428.0
